ATR_PERIOD,ATR_MULTIPLIER,ADX_LENGTH,DI_DIFFERENCE_FILTER,DI_DIFFERENCE_LOOKBACK_PERIOD,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
30,4,11,7,8,1.6473684210526316,54.9520766773163,313,172,141,1000468.2938343206,0.046829383432061875
30,4,11,8,4,2.1315789473684212,52.59259259259259,405,213,192,980514.6654040405,-1.9485334595959518
30,4,11,8,5,1.894736842105263,54.44444444444444,360,196,164,994799.2162339443,-0.5200783766055712
30,4,11,8,6,1.7473684210526317,54.51807228915663,332,181,151,994476.6927427715,-0.5523307257228531
30,4,11,8,7,1.6263157894736842,55.33980582524271,309,171,138,1001616.3495745106,0.16163495745105902
30,4,11,8,8,1.4947368421052631,57.04225352112676,284,162,122,1011320.642960148,1.1320642960148048
30,4,11,9,4,1.9526315789473685,53.36927223719676,371,198,173,987046.1895603689,-1.295381043963111
30,4,11,9,5,1.736842105263158,54.24242424242425,330,179,151,992627.8339686764,-0.7372166031323606
30,4,11,9,6,1.6526315789473685,54.77707006369427,314,172,142,996480.4177412781,-0.351958225872193
30,4,11,9,7,1.4947368421052631,56.33802816901409,284,160,124,1007396.8947364836,0.7396894736483577
30,4,11,9,8,1.3,54.25101214574899,247,134,113,998129.7810305988,-0.1870218969401205
30,4,11,10,4,1.7947368421052632,53.665689149560116,341,183,158,989072.2020549265,-1.0927797945073456
30,4,11,10,5,1.6263157894736842,54.0453074433657,309,167,142,992467.3413196617,-0.7532658680338297
30,4,11,10,6,1.5,54.385964912280706,285,155,130,995861.4592583299,-0.41385407416700615
30,4,11,10,7,1.3105263157894738,55.42168674698795,249,138,111,1002475.0323400768,0.2475032340076752
30,4,11,10,8,1.1368421052631579,55.092592592592595,216,119,97,1001950.2559080808,0.19502559080808424
30,4,12,6,4,2.231578947368421,52.12264150943396,424,221,203,976755.7209779569,-2.324427902204311
30,4,12,6,5,2.0473684210526315,52.95629820051414,389,206,183,984401.8221298588,-1.5598177870141225
30,4,12,6,6,1.8789473684210527,54.061624649859944,357,193,164,991582.5965815333,-0.8417403418466682
30,4,12,6,7,1.8,55.26315789473685,342,189,153,999668.1128180053,-0.033188718199473805
30,4,12,6,8,1.668421052631579,55.520504731861195,317,176,141,1002005.1929086379,0.20051929086379242
30,4,12,7,4,2.1157894736842104,52.48756218905473,402,211,191,980190.0751791161,-1.98099248208839
30,4,12,7,5,1.9052631578947368,53.86740331491713,362,195,167,990244.1229728333,-0.9755877027166657
30,4,12,7,6,1.7789473684210526,55.02958579881657,338,186,152,997232.4773563701,-0.2767522643629927
30,4,12,7,7,1.6526315789473685,55.4140127388535,314,174,140,1001400.9519824382,0.1400951982438215
30,4,12,7,8,1.5315789473684212,56.3573883161512,291,164,127,1007975.8623054173,0.7975862305417308
30,4,12,8,4,1.9842105263157894,53.58090185676393,377,202,175,988505.1832312198,-1.1494816768780234
30,4,12,8,5,1.768421052631579,55.05952380952381,336,185,151,997317.7994383482,-0.26822005616518435
30,4,12,8,6,1.6789473684210525,55.172413793103445,319,176,143,999582.8447202473,-0.041715527975268195
30,4,12,8,7,1.5052631578947369,55.94405594405595,286,160,126,1005753.0695750406,0.5753069575040601
30,4,12,8,8,1.3526315789473684,56.42023346303502,257,145,112,1007646.2313413393,0.7646231341339299
30,4,12,9,4,1.7947368421052632,54.252199413489734,341,185,156,991657.0652288625,-0.8342934771137545
30,4,12,9,5,1.6473684210526316,54.9520766773163,313,172,141,996758.3842380466,-0.3241615761953406
30,4,12,9,6,1.5105263157894737,55.052264808362374,287,158,129,999468.5138649794,-0.053148613502061924
30,4,12,9,7,1.3210526315789475,55.77689243027888,251,140,111,1004652.3992358674,0.46523992358674293
30,4,12,9,8,1.1736842105263159,54.7085201793722,223,122,101,1000591.0368682058,0.059103686820575964
30,4,12,10,4,1.668421052631579,53.31230283911672,317,169,148,988191.2009767169,-1.1808799023283063
30,4,12,10,5,1.5,53.333333333333336,285,152,133,989111.1329667183,-1.0888867033281713
30,4,12,10,6,1.2947368421052632,54.87804878048781,246,135,111,1001725.283703976,0.17252837039759614
30,4,12,10,7,1.1473684210526316,53.669724770642205,218,117,101,995798.8205743533,-0.4201179425646667
30,4,12,10,8,0.9947368421052631,51.85185185185185,189,98,91,990616.7132139145,-0.938328678608546
30,4,13,6,4,2.1315789473684212,52.8395061728395,405,214,191,982918.632247124,-1.7081367752876015
30,4,13,6,5,1.931578947368421,53.950953678474114,367,198,169,989954.7567792493,-1.0045243220750708
30,4,13,6,6,1.8105263157894738,54.65116279069767,344,188,156,994811.5687519363,-0.5188431248063687
30,4,13,6,7,1.6789473684210525,55.4858934169279,319,177,142,1001892.6627007788,0.1892662700778805
