FAST_LENGTH,SLOW_LENGTH,SIGNAL_LENGTH,HISTOGRAM_UPPER_LIMIT,HISTOGRAM_LOWER_LIMIT,LOOKBACK_PERIOD,PRICE_MOVEMENT_THRESHOLD,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
10,21,10,90,-60,2,0.01,0.6947368421052632,63.63636363636363,132,84,48,1024068.3550520699,2.4068355052069874
10,21,10,90,-60,2,0.02,0.5736842105263158,65.13761467889908,109,71,38,1022412.4593493552,2.2412459349355194
10,21,10,90,-60,2,0.03,0.48947368421052634,70.96774193548387,93,66,27,1028990.4757961861,2.899047579618613
10,21,10,90,-60,2,0.04,0.4368421052631579,73.49397590361446,83,61,22,1030366.7937299579,3.0366793729957893
10,21,10,90,-60,2,0.05,0.4052631578947368,74.02597402597402,77,57,20,1028092.7166965959,2.809271669659589
10,21,12,50,-100,2,0.01,1.1578947368421053,60.45454545454545,220,133,87,1028263.31671514,2.8263316715140014
10,21,12,50,-100,2,0.02,0.9631578947368421,62.841530054644814,183,115,68,1032670.0776671699,3.2670077667169855
10,21,12,50,-100,2,0.03,0.8105263157894737,64.28571428571429,154,99,55,1032890.1713881178,3.2890171388117833
10,21,12,50,-100,2,0.04,0.6473684210526316,66.66666666666666,123,82,41,1031517.0137346473,3.1517013734647303
10,21,12,50,-100,2,0.05,0.5526315789473685,67.61904761904762,105,71,34,1027478.5015842761,2.7478501584276094
10,21,12,50,-80,2,0.01,1.2578947368421052,59.41422594142259,239,142,97,1025233.6730763956,2.5233673076395644
10,21,12,50,-80,2,0.02,1.0421052631578946,61.61616161616161,198,122,76,1030006.0437917628,3.000604379176279
10,21,12,50,-80,2,0.03,0.8526315789473684,64.19753086419753,162,104,58,1033222.9388543804,3.3222938854380395
10,21,12,50,-80,2,0.04,0.6842105263157895,66.92307692307692,130,87,43,1032794.3119427747,3.2794311942774685
10,21,12,50,-80,2,0.05,0.5842105263157895,67.56756756756756,111,75,36,1028039.3144739614,2.803931447396136
10,21,12,50,-60,2,0.01,1.4842105263157894,60.28368794326241,282,170,112,1033295.556602808,3.3295556602807945
10,21,12,50,-60,2,0.02,1.2210526315789474,62.5,232,145,87,1038568.4020938929,3.8568402093892917
10,21,12,50,-60,2,0.03,1.0105263157894737,64.58333333333334,192,124,68,1040177.444214287,4.017744421428699
10,21,12,50,-60,2,0.04,0.7947368421052632,68.21192052980133,151,103,48,1041919.7745978073,4.191977459780732
10,21,12,50,-60,2,0.05,0.6789473684210526,68.9922480620155,129,89,40,1036444.6310403196,3.6444631040319564
10,21,12,70,-100,2,0.01,0.8421052631578947,64.375,160,103,57,1034199.6882738628,3.419968827386282
10,21,12,70,-100,2,0.02,0.7263157894736842,66.66666666666666,138,92,46,1035387.4127232512,3.5387412723251153
10,21,12,70,-100,2,0.03,0.6157894736842106,68.37606837606837,117,80,37,1034353.5272919093,3.4353527291909325
10,21,12,70,-100,2,0.04,0.5105263157894737,69.0721649484536,97,67,30,1028710.202123019,2.871020212301903
10,21,12,70,-100,2,0.05,0.45789473684210524,70.11494252873564,87,61,26,1026195.2018626841,2.61952018626841
10,21,12,70,-80,2,0.01,0.9421052631578948,62.56983240223464,179,112,67,1031152.5538912216,3.1152553891221646
10,21,12,70,-80,2,0.02,0.8052631578947368,64.70588235294117,153,99,54,1032716.3687942011,3.271636879420106
10,21,12,70,-80,2,0.03,0.6578947368421053,68.0,125,85,40,1034686.7662092989,3.4686766209298865
10,21,12,70,-80,2,0.04,0.5473684210526316,69.23076923076923,104,72,32,1029984.024736082,2.998402473608195
10,21,12,70,-80,2,0.05,0.48947368421052634,69.89247311827957,93,65,28,1026755.3143084928,2.675531430849282
10,21,12,70,-60,2,0.01,1.168421052631579,63.06306306306306,222,140,82,1039260.9802975535,3.9260980297553467
