MACD_FAST_LENGTH,MACD_SLOW_LENGTH,MACD_SIGNAL_LENGTH,SIZE_RATIO_THRESHOLD,DI_LENGTH,DI_SLOPE_LENGTH,MIN_SLOPE_THRESHOLD,REQUIRED_CONSECUTIVE_CANDLES,trades_per_day,win_rate,total_trades,wins,losses,final_capital,profit_percentage
12,17,10,0.7,10,15,14,2,6.557894736842106,50.24077046548957,1246,626,620,908733.1867807865,-9.126681321921351
12,17,10,0.7,10,15,16,1,7.473684210526316,52.74647887323943,1420,749,671,960734.8860708828,-3.926511392911722
12,17,10,0.7,10,15,16,2,5.336842105263158,50.0,1014,507,507,919760.292137416,-8.023970786258404
12,17,10,0.7,10,15,18,1,6.121052631578947,53.224419604471194,1163,619,544,971242.5484572643,-2.8757451542735684
12,17,10,0.7,10,15,18,2,4.205263157894737,50.563204005006256,799,404,395,941849.8377355173,-5.81501622644827
12,17,10,0.7,12,7,12,1,7.168421052631579,50.95447870778267,1362,694,668,928026.0200137724,-7.197397998622758
12,17,10,0.7,12,7,12,2,4.889473684210526,49.83853606027987,929,463,466,920359.4396949748,-7.96405603050252
12,17,10,0.7,12,7,14,1,5.61578947368421,49.765698219306465,1067,531,536,921344.7400909604,-7.86552599090396
12,17,10,0.7,12,7,14,2,3.778947368421053,53.48189415041783,718,384,334,989326.1169426793,-1.0673883057320723
12,17,10,0.7,12,7,16,1,4.310526315789474,50.06105006105006,819,410,409,935817.9215542619,-6.418207844573806
12,17,10,0.7,12,7,16,2,2.636842105263158,51.09780439121756,501,256,245,969445.5037060613,-3.0554496293938715
12,17,10,0.7,12,7,18,1,3.1473684210526316,50.836120401337794,598,304,294,961476.6301188067,-3.8523369881193275
12,17,10,0.7,12,7,18,2,1.8157894736842106,52.17391304347826,345,180,165,987603.7306207914,-1.2396269379208564
12,17,10,0.7,12,9,12,1,7.657894736842105,50.37800687285223,1455,733,722,903449.3995497503,-9.655060045024975
12,17,10,0.7,12,9,12,2,5.726315789473684,48.98897058823529,1088,533,555,893151.280467872,-10.684871953212797
12,17,10,0.7,12,9,14,1,6.505263157894737,50.404530744336576,1236,623,613,915741.4371117469,-8.425856288825313
12,17,10,0.7,12,9,14,2,4.657894736842105,48.36158192090396,885,428,457,902917.161304026,-9.708283869597398
12,17,10,0.7,12,9,16,1,5.036842105263158,50.470219435736674,957,483,474,935324.1308215942,-6.467586917840585
